input,output
one royal pupil and the whole of vienna will come flocking wed be set up for life,theyll come anyway they love me here
theyll come anyway they love me here,no they will not i know how things work in this city
no they will not i know how things work in this city,oh yes you always know everything
oh yes you always know everything,well im not borrowing any more money from my mother and thats that
well im not borrowing any more money from my mother and thats that,you borrowed money from your mother
you borrowed money from your mother,yes
yes,well dont do that again
well dont do that again,how are we going to live wolfi do you want me to go into the streets and beg
how are we going to live wolfi do you want me to go into the streets and beg,dont be stupid
dont be stupid,all they want to see is your work whats wrong with that
all they want to see is your work whats wrong with that,shut up just shut up i dont need them
shut up just shut up i dont need them,this isnt pride its sheer stupidity
stop it now stop it ive brought some friends to meet you theyre next door waiting do we have anything to eat theyre all starving,tell them to go away i dont want to see anybody
